Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Disagree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id93448	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Don't Know	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	0	0	1	0	0	0	0	0	0	Go!	id98006	
Neither Agree or Disagree	Neither Agree or Disagree	Reply	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	0	0	1	0	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Don't Know	Agree Strongly	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id95521	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0		1	1	1	0	1	1	Go!	id91329	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Don't Know	Agree Strongly	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97575	
Disagree Strongly	Agree Somewhat	Delete	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	0		0	0	0	0	0	0	Go!	id97400	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	No Opinion	Agree Somewhat	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Government Controls	Agree Strongly	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id96769	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Disagree Strongly	Registry	No Opinion	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id94724	
Disagree Somewhat	Neither Agree or Disagree	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Somewhat	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	0	1	1	Go!	id98661	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	Agree Somewhat	No Opinion	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	No Opinion	Agree Strongly	Registry	Agree Strongly	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	No Opinion	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id91195	
